ChapterID,ChapterName,Domain,FacultyID
3001,IEEE Computer Society,Computer Science,2001
3002,IEEE Computational Intelligence Society,Artificial Intelligence,2002
3003,IEEE Robotics and Automation Society,Robotics,2003
3004,IEEE Communications Society,Networking,2004
3005,IEEE Signal Processing Society,Signal Processing,2005
3006,IEEE Computer Society - Software Engineering Chapter,Software Engineering,2001
3007,IEEE Computational Intelligence - Data Analytics Chapter,Data Analytics,2002
3008,IEEE Internet of Things Chapter,Internet of Things,2003
3009,IEEE Electron Devices Chapter,Electronics,2006
3010,IEEE Power and Energy Chapter,Power Systems,2007
3011,IEEE Engineering in Medicine and Biology Chapter,Biomedical Engineering,2008
3012,IEEE Technology Management Chapter,Technology Management,2010
