MembershipID,StudentID,MembershipNumber,MembershipType,StartDate,ExpiryDate,Status
5001,1001,IEEE-2026-001,Student,05-01-2026,04-01-2027,Active
5002,1002,IEEE-2026-002,Student,07-01-2026,06-01-2027,Active
5003,1003,IEEE-2026-003,Student,10-01-2026,09-01-2027,Active
5004,1004,IEEE-2026-004,Student,12-01-2026,11-01-2027,Active
5005,1005,IEEE-2026-005,Student,15-01-2026,14-01-2027,Active
5006,1006,IEEE-2026-006,Student,18-01-2026,17-01-2027,Active
5007,1007,IEEE-2026-007,Student,20-01-2026,19-01-2027,Active
5008,1008,IEEE-2026-008,Student,22-01-2026,21-01-2027,Active
5009,1009,IEEE-2026-009,Student,25-01-2026,24-01-2027,Active
5010,1010,IEEE-2026-010,Student,28-01-2026,27-01-2027,Active
5011,1011,IEEE-2026-011,Student,01-02-2026,31-01-2027,Active
5012,1012,IEEE-2026-012,Student,03-02-2026,02-02-2027,Active
5013,1013,IEEE-2026-013,Student,05-02-2026,04-02-2027,Active
5014,1014,IEEE-2026-014,Student,08-02-2026,07-02-2027,Active
5015,1015,IEEE-2026-015,Student,10-02-2026,09-02-2027,Active
5016,1016,IEEE-2026-016,Student,12-02-2026,11-02-2027,Active
5017,1017,IEEE-2026-017,Student,15-02-2026,14-02-2027,Active
5018,1018,IEEE-2026-018,Student,17-02-2026,16-02-2027,Active
5019,1019,IEEE-2026-019,Student,20-02-2026,19-02-2027,Active
5020,1020,IEEE-2026-020,Student,22-02-2026,21-02-2027,Active
5021,1021,IEEE-2026-021,Student,25-02-2026,24-02-2027,Active
5022,1022,IEEE-2026-022,Student,27-02-2026,26-02-2027,Active
5023,1023,IEEE-2026-023,Student,01-03-2026,28-02-2027,Active
5024,1024,IEEE-2026-024,Student,03-03-2026,02-03-2027,Active
5025,1025,IEEE-2026-025,Student,05-03-2026,04-03-2027,Active
5026,1026,IEEE-2026-026,Student,08-03-2026,07-03-2027,Active
5027,1027,IEEE-2026-027,Student,10-03-2026,09-03-2027,Active
5028,1028,IEEE-2026-028,Student,12-03-2026,11-03-2027,Active
5029,1029,IEEE-2026-029,Student,15-03-2026,14-03-2027,Active
5030,1030,IEEE-2026-030,Student,17-03-2026,16-03-2027,Active
5031,1031,IEEE-2026-031,Student,20-03-2026,19-03-2027,Active
5032,1032,IEEE-2026-032,Student,22-03-2026,21-03-2027,Active
5033,1033,IEEE-2026-033,Student,25-03-2026,24-03-2027,Active
5034,1034,IEEE-2026-034,Student,27-03-2026,26-03-2027,Active
5035,1035,IEEE-2026-035,Student,29-03-2026,28-03-2027,Active
5036,1036,IEEE-2026-036,Student,01-04-2026,31-03-2027,Active
5037,1037,IEEE-2026-037,Student,03-04-2026,02-04-2027,Active
5038,1038,IEEE-2026-038,Student,05-04-2026,04-04-2027,Active
5039,1039,IEEE-2026-039,Student,08-04-2026,07-04-2027,Active
5040,1040,IEEE-2026-040,Student,10-04-2026,09-04-2027,Active
5041,1041,IEEE-2026-041,Student,12-04-2026,11-04-2027,Active
5042,1042,IEEE-2026-042,Student,15-04-2026,14-04-2027,Active
5043,1043,IEEE-2026-043,Student,17-04-2026,16-04-2027,Active
5044,1044,IEEE-2026-044,Student,20-04-2026,19-04-2027,Active
5045,1045,IEEE-2026-045,Student,22-04-2026,21-04-2027,Active
5046,1046,IEEE-2026-046,Student,25-04-2026,24-04-2027,Active
5047,1047,IEEE-2026-047,Student,27-04-2026,26-04-2027,Active
5048,1048,IEEE-2026-048,Student,29-04-2026,28-04-2027,Active
5049,1049,IEEE-2026-049,Student,01-05-2026,30-04-2027,Active
5050,1050,IEEE-2026-050,Student,03-05-2026,02-05-2027,Active
5051,1051,IEEE-2026-051,Student,05-05-2026,04-05-2027,Active
5052,1052,IEEE-2026-052,Student,08-05-2026,07-05-2027,Active
5053,1053,IEEE-2026-053,Student,10-05-2026,09-05-2027,Active
5054,1054,IEEE-2026-054,Student,12-05-2026,11-05-2027,Active
5055,1055,IEEE-2026-055,Student,15-05-2026,14-05-2027,Active
5056,1056,IEEE-2026-056,Student,17-05-2026,16-05-2027,Active
