RegistrationID,StudentID,EventID,RegistrationDate,Status,AttendanceStatus
6001,1001,4001,14-01-2026,Cancelled,Absent
6002,1012,4001,11-01-2026,Registered,Present
6003,1023,4001,08-01-2026,Registered,Present
6004,1034,4001,13-01-2026,Registered,Present
6005,1045,4001,10-01-2026,Registered,Present
6006,1056,4001,07-01-2026,Registered,Present
6007,1067,4001,12-01-2026,Registered,Present
6008,1078,4001,09-01-2026,Registered,Present
6009,1089,4001,14-01-2026,Registered,Present
6010,1100,4001,11-01-2026,Registered,Present
6011,1018,4002,20-01-2026,Registered,Present
6012,1029,4002,17-01-2026,Registered,Absent
6013,1040,4002,14-01-2026,Registered,Present
6014,1051,4002,19-01-2026,Registered,Absent
6015,1062,4002,16-01-2026,Registered,Present
6016,1073,4002,21-01-2026,Registered,Absent
6017,1084,4002,18-01-2026,Registered,Present
6018,1095,4002,15-01-2026,Registered,Absent
6019,1106,4002,20-01-2026,Registered,Present
6020,1117,4002,17-01-2026,Registered,Absent
6021,1035,4003,02-02-2026,Registered,Present
6022,1046,4003,30-01-2026,Registered,Present
6023,1057,4003,04-02-2026,Registered,Present
6024,1068,4003,01-02-2026,Registered,Present
6025,1079,4003,29-01-2026,Registered,Present
6026,1090,4003,03-02-2026,Registered,Present
6027,1101,4003,31-01-2026,Registered,Present
6028,1112,4003,28-01-2026,Registered,Present
6029,1003,4003,02-02-2026,Registered,Present
6030,1014,4003,30-01-2026,Registered,Present
6031,1052,4004,14-02-2026,Registered,Absent
6032,1063,4004,11-02-2026,Registered,Present
6033,1074,4004,16-02-2026,Registered,Absent
6034,1085,4004,13-02-2026,Registered,Present
6035,1096,4004,10-02-2026,Registered,Absent
6036,1107,4004,15-02-2026,Registered,Present
6037,1118,4004,12-02-2026,Registered,Absent
6038,1009,4004,17-02-2026,Registered,Present
6039,1020,4004,14-02-2026,Registered,Absent
6040,1031,4004,11-02-2026,Registered,Present
6041,1069,4005,27-02-2026,Registered,Present
6042,1080,4005,24-02-2026,Registered,Present
6043,1091,4005,01-03-2026,Registered,Present
6044,1102,4005,26-02-2026,Registered,Present
6045,1113,4005,03-03-2026,Registered,Present
6046,1004,4005,28-02-2026,Registered,Present
6047,1015,4005,25-02-2026,Registered,Present
6048,1026,4005,02-03-2026,Registered,Present
6049,1037,4005,27-02-2026,Registered,Present
6050,1048,4005,24-02-2026,Registered,Present
6051,1086,4006,13-03-2026,Registered,Present
6052,1097,4006,18-03-2026,Registered,Present
6053,1108,4006,15-03-2026,Registered,Present
6054,1119,4006,12-03-2026,Registered,Present
6055,1010,4006,17-03-2026,Registered,Present
6056,1021,4006,14-03-2026,Registered,Present
6057,1032,4006,11-03-2026,Registered,Present
6058,1043,4006,16-03-2026,Registered,Present
6059,1054,4006,13-03-2026,Registered,Present
6060,1065,4006,18-03-2026,Registered,Present
6061,1103,4007,03-04-2026,Registered,Absent
6062,1114,4007,08-04-2026,Registered,Present
6063,1005,4007,05-04-2026,Registered,Absent
6064,1016,4007,02-04-2026,Registered,Present
6065,1027,4007,07-04-2026,Registered,Absent
6066,1038,4007,04-04-2026,Registered,Present
6067,1049,4007,09-04-2026,Registered,Absent
6068,1060,4007,06-04-2026,Registered,Present
6069,1071,4007,03-04-2026,Registered,Absent
6070,1082,4007,08-04-2026,Registered,Present
6071,1120,4008,28-04-2026,Registered,Present
6072,1011,4008,03-05-2026,Registered,Present
6073,1022,4008,30-04-2026,Registered,Present
6074,1033,4008,05-05-2026,Registered,Present
6075,1044,4008,02-05-2026,Registered,Present
6076,1055,4008,29-04-2026,Registered,Present
6077,1066,4008,04-05-2026,Registered,Present
6078,1077,4008,01-05-2026,Registered,Present
6079,1088,4008,28-04-2026,Registered,Present
6080,1099,4008,03-05-2026,Registered,Present
6081,1017,4009,11-06-2026,Registered,Present
6082,1028,4009,08-06-2026,Registered,Absent
6083,1039,4009,05-06-2026,Registered,Present
6084,1050,4009,10-06-2026,Registered,Absent
6085,1061,4009,07-06-2026,Registered,Present
6086,1072,4009,04-06-2026,Registered,Absent
6087,1083,4009,09-06-2026,Registered,Present
6088,1094,4009,06-06-2026,Registered,Absent
6089,1105,4009,11-06-2026,Registered,Present
6090,1116,4009,08-06-2026,Registered,Absent
6091,1034,4010,01-07-2026,Registered,Present
6092,1045,4010,28-06-2026,Registered,Present
6093,1056,4010,25-06-2026,Registered,Present
6094,1067,4010,30-06-2026,Registered,Present
6095,1078,4010,27-06-2026,Registered,Present
6096,1089,4010,02-07-2026,Registered,Present
6097,1100,4010,29-06-2026,Registered,Present
6098,1111,4010,26-06-2026,Registered,Present
6099,1002,4010,01-07-2026,Registered,Present
6100,1013,4010,28-06-2026,Registered,Present
6101,1051,4011,17-01-2026,Registered,Present
6102,1062,4011,14-01-2026,Registered,Present
6103,1073,4011,19-01-2026,Registered,Present
6104,1084,4011,16-01-2026,Registered,Present
6105,1095,4011,13-01-2026,Registered,Present
6106,1106,4011,18-01-2026,Registered,Present
6107,1117,4011,15-01-2026,Registered,Present
6108,1008,4011,12-01-2026,Registered,Present
6109,1019,4011,17-01-2026,Registered,Present
6110,1030,4011,14-01-2026,Registered,Present
6111,1068,4012,30-01-2026,Registered,Present
6112,1079,4012,27-01-2026,Registered,Absent
6113,1090,4012,01-02-2026,Registered,Present
6114,1101,4012,29-01-2026,Registered,Absent
6115,1112,4012,26-01-2026,Registered,Present
6116,1003,4012,31-01-2026,Registered,Absent
6117,1014,4012,28-01-2026,Registered,Present
6118,1025,4012,02-02-2026,Registered,Absent
6119,1036,4012,30-01-2026,Registered,Present
6120,1047,4012,27-01-2026,Cancelled,Absent
6121,1085,4013,15-02-2026,Registered,Present
6122,1096,4013,12-02-2026,Registered,Present
6123,1107,4013,17-02-2026,Registered,Present
6124,1118,4013,14-02-2026,Registered,Present
6125,1009,4013,19-02-2026,Registered,Present
6126,1020,4013,16-02-2026,Registered,Present
6127,1031,4013,13-02-2026,Registered,Present
6128,1042,4013,18-02-2026,Registered,Present
6129,1053,4013,15-02-2026,Cancelled,Absent
6130,1064,4013,12-02-2026,Registered,Present
6131,1102,4014,28-02-2026,Registered,Absent
6132,1113,4014,05-03-2026,Registered,Present
6133,1004,4014,02-03-2026,Registered,Absent
6134,1015,4014,27-02-2026,Registered,Present
6135,1026,4014,04-03-2026,Registered,Absent
6136,1037,4014,01-03-2026,Registered,Present
6137,1048,4014,26-02-2026,Registered,Absent
6138,1059,4014,03-03-2026,Cancelled,Absent
6139,1070,4014,28-02-2026,Registered,Absent
6140,1081,4014,05-03-2026,Registered,Present
6141,1119,4015,17-03-2026,Registered,Present
6142,1010,4015,22-03-2026,Registered,Present
6143,1021,4015,19-03-2026,Registered,Present
6144,1032,4015,16-03-2026,Registered,Present
6145,1043,4015,21-03-2026,Registered,Present
6146,1054,4015,18-03-2026,Registered,Present
6147,1065,4015,23-03-2026,Cancelled,Absent
6148,1076,4015,20-03-2026,Registered,Present
6149,1087,4015,17-03-2026,Registered,Present
6150,1098,4015,22-03-2026,Registered,Present
6151,1016,4016,06-04-2026,Registered,Present
6152,1027,4016,11-04-2026,Registered,Present
6153,1038,4016,08-04-2026,Registered,Present
6154,1049,4016,13-04-2026,Registered,Present
6155,1060,4016,10-04-2026,Registered,Present
6156,1071,4016,07-04-2026,Cancelled,Absent
6157,1082,4016,12-04-2026,Registered,Present
6158,1093,4016,09-04-2026,Registered,Present
6159,1104,4016,06-04-2026,Registered,Present
6160,1115,4016,11-04-2026,Registered,Present
6161,1033,4017,07-05-2026,Registered,Absent
6162,1044,4017,04-05-2026,Registered,Present
6163,1055,4017,01-05-2026,Registered,Absent
6164,1066,4017,06-05-2026,Registered,Present
6165,1077,4017,03-05-2026,Cancelled,Absent
6166,1088,4017,30-04-2026,Registered,Present
6167,1099,4017,05-05-2026,Registered,Absent
6168,1110,4017,02-05-2026,Registered,Present
6169,1001,4017,07-05-2026,Registered,Absent
6170,1012,4017,04-05-2026,Registered,Present
6171,1050,4018,03-06-2026,Registered,Present
6172,1061,4018,31-05-2026,Registered,Present
6173,1072,4018,28-05-2026,Registered,Present
